タイムスタンプ,"あなたが普段使っているアバターを1つ教えて下さい
※改変している場合は改変元を教えて下さい",一番好きなアバター(推しアバター)を1つ教えて下さい,好みの身長タイプを教えて下さい,以下の特徴タグから、「好き」「魅力を感じる」と思うものを最大5つ選んでください
2025/12/08 16:48:24,dummy,dummy,~100cm,"ゴスファッション , しっぽ"
2025/12/08 16:53:24,dummy,dummy,~100cm,"褐色 , ケモノ"
2025/12/08 16:58:24,dummy,dummy,130~160cm,"セミロングヘア , ジャージ , 褐色 , ケモノ"
2025/12/08 17:03:24,dummy,dummy,~100cm,"セミロングヘア , 帽子 , スカート , ツインテール , ケモノ"
2025/12/08 17:08:24,dummy,dummy,160cm~,"動物 , ミリタリー服 , Sci-Fi , セミロングヘア , ギザ歯"
2025/12/08 17:13:24,dummy,dummy,~100cm,"セミロングヘア , ギザ歯 , 動物 , ショートヘア"
2025/12/08 17:18:24,dummy,dummy,~100cm,"ツインテール , メイド服 , 動物 , ワンピース , ショートヘア"
2025/12/08 17:23:24,dummy,dummy,100~130cm,"ファンタジー , 動物 , 羽 , ロリータファッション"
2025/12/08 17:28:24,dummy,dummy,100~130cm,"ロリータファッション , ロングヘア , モンスター"
2025/12/08 17:33:24,dummy,dummy,160cm~,"動物 , 褐色 , 羽"
2025/12/08 17:38:24,dummy,dummy,130~160cm,"ミリタリー服 , ポニーテール"
2025/12/08 17:43:24,dummy,dummy,160cm~,"しっぽ , セミロングヘア , ジャージ"
2025/12/08 17:48:24,dummy,dummy,160cm~,"ツインテール , パンクファッション"
2025/12/08 17:53:24,dummy,dummy,160cm~,"動物 , セミロングヘア , メカ , Sci-Fi"
2025/12/08 17:58:24,dummy,dummy,100~130cm,"ショートヘア , ファンタジー"
2025/12/08 18:03:24,dummy,dummy,130~160cm,"ジャージ , ミリタリー服 , ギザ歯"
2025/12/08 18:08:24,dummy,dummy,130~160cm,"モンスター , ケモノ , 褐色 , ツインテール"
